,T1goldEarned,T1totalMinionsKilled,T1totalTimeSpentDead,T1wardsKilled,T1wardsPlaced,T2goldEarned,T2totalMinionsKilled,T2totalTimeSpentDead,T2wardsKilled,T2wardsPlaced,T1win,T1baron,T1champion,T1dragon,T1inhibitor,T1riftHerald,T1tower,T2baron,T2champion,T2dragon,T2inhibitor,T2riftHerald,T2tower
47,56969,634,832,25,64,61727,667,802,21,89,0,0,28,2,0,1,5,2,26,3,1,0,8
48,47003,566,969,25,52,58856,604,488,19,64,0,0,21,1,0,1,2,1,38,2,3,1,10
49,52842,453,910,13,53,61278,557,910,17,64,0,0,37,2,0,0,0,1,40,2,2,2,10
50,63048,638,856,23,94,58551,614,943,31,47,1,1,34,3,1,0,7,0,28,2,1,1,6
51,58673,594,582,16,57,50504,620,956,26,65,1,1,36,2,1,0,8,0,20,2,0,1,4
52,36091,473,648,10,40,43450,474,289,16,35,0,0,14,0,0,1,1,0,27,3,0,1,4
53,64018,626,793,11,79,59217,685,1030,22,64,0,1,40,3,0,2,7,0,23,2,1,0,7
54,38377,511,153,9,51,36262,531,409,12,32,1,0,18,3,0,1,4,0,7,0,0,1,3
55,57188,639,1444,34,64,71792,638,801,21,86,0,0,26,3,0,1,3,2,48,2,2,0,9
56,37889,433,573,17,55,49457,528,260,18,47,0,0,14,1,0,2,1,0,30,2,1,0,9
57,55923,673,904,9,67,65230,759,648,22,56,0,1,25,0,0,1,4,0,34,4,1,0,9
58,59832,567,430,23,50,50375,604,854,9,57,1,1,34,3,2,1,10,0,20,0,0,0,3
59,41075,531,957,9,32,54796,544,306,13,46,0,0,13,2,0,2,3,0,40,2,1,0,8
60,67899,629,734,30,56,54772,563,1322,24,61,1,1,47,4,2,0,9,0,27,0,0,1,5
61,64533,819,1354,23,60,74987,731,891,13,71,0,0,27,0,0,1,3,2,50,4,3,0,11
62,37237,562,720,14,44,49710,598,251,11,49,0,0,8,1,0,0,1,1,28,2,0,1,5
63,40099,481,809,13,46,48927,459,495,17,51,0,0,19,0,0,2,3,1,34,3,0,0,3
64,64908,728,774,33,76,59575,732,1003,34,79,1,1,33,2,4,2,11,0,26,2,0,0,2
65,46590,465,175,5,36,32008,411,529,7,26,1,0,29,3,1,2,7,0,10,0,0,0,2
66,29781,366,520,14,41,42673,467,197,11,31,0,0,11,0,0,0,1,0,24,3,1,2,9
67,69952,705,931,23,62,61922,756,1044,23,73,1,2,40,3,6,1,11,0,32,1,0,1,1
68,60859,684,545,21,53,48602,557,920,22,70,1,1,30,2,2,0,9,0,20,2,0,1,3
69,29464,468,483,6,32,38731,465,63,7,36,0,0,4,1,0,1,1,0,20,1,0,1,4
70,66927,692,917,38,94,63527,639,715,30,82,1,1,30,0,1,1,7,1,34,5,0,0,4
71,48295,638,887,14,61,57626,653,483,17,37,0,0,16,0,0,1,3,1,30,4,2,1,8
72,41996,522,726,6,40,54193,512,513,9,42,0,0,20,1,0,0,1,1,33,2,1,2,10
73,66333,599,1370,37,78,72097,664,1265,31,97,0,2,38,2,0,1,4,0,48,3,2,0,10
74,59097,767,1373,29,64,71440,704,929,24,94,0,0,25,2,0,1,1,2,36,2,2,1,10
75,33815,517,701,9,86,48858,456,211,5,35,0,0,9,0,0,0,1,0,31,3,0,1,7
76,62002,582,710,20,56,53351,532,884,10,60,1,1,38,2,3,1,11,0,28,1,0,1,2
77,70583,834,927,39,67,72119,809,707,24,93,0,1,23,0,2,1,7,1,30,5,3,1,11
78,58613,676,1167,22,61,65952,719,798,22,75,0,0,24,3,0,1,6,1,38,2,1,0,8
79,31087,372,601,4,41,42118,463,224,15,42,0,0,12,0,0,1,0,0,31,2,0,0,5
80,51772,644,575,34,95,57369,624,727,32,71,0,0,24,1,0,0,2,1,27,3,1,2,6
81,52831,618,924,26,64,60487,676,578,32,67,0,0,21,1,0,1,5,2,29,4,1,0,7
82,63044,644,534,16,44,47638,603,1074,13,47,1,1,44,3,3,2,11,0,17,0,0,0,1
83,58164,589,562,18,51,46024,589,1094,13,48,1,1,38,3,1,2,7,0,20,1,0,0,1
84,27193,366,259,12,31,30729,356,143,8,37,0,0,8,0,0,0,0,0,16,1,0,1,2
85,51528,545,291,18,35,38844,480,710,9,52,1,1,31,3,0,1,7,0,16,0,0,1,1
86,77693,897,1118,30,86,84636,831,965,39,82,0,0,34,2,0,0,4,3,33,5,5,1,11
87,86921,697,1968,31,93,85545,902,2009,42,110,0,2,51,2,3,1,9,1,49,4,1,1,7
88,75219,873,1234,44,59,68209,818,1263,16,103,1,1,33,1,1,1,10,0,36,4,0,1,4
89,52839,670,1199,16,66,70681,678,352,18,73,0,1,13,1,0,2,4,1,38,4,2,0,10
90,39886,520,585,9,35,42121,515,298,15,46,0,0,16,1,0,1,3,0,21,1,0,1,3
91,48806,635,934,22,39,56025,658,585,9,61,0,0,18,0,0,1,2,1,30,4,2,0,9
92,50599,521,399,16,43,41186,509,808,10,41,1,0,35,3,0,1,6,0,17,0,0,0,1
93,74317,656,1078,24,67,58760,693,1439,22,73,1,1,47,3,4,1,10,0,31,1,0,0,0
94,50959,531,287,14,54,40433,505,581,8,43,1,1,24,2,2,2,10,0,15,1,0,0,1
95,56133,571,500,15,51,45003,597,924,15,54,1,1,39,2,1,2,7,0,20,2,0,0,1
96,72562,698,1394,26,74,67917,699,1325,34,82,1,1,40,4,1,1,9,0,39,1,0,1,4
97,32713,427,722,7,55,46367,474,150,3,45,0,0,6,0,0,1,2,0,32,2,1,1,8
98,61681,528,815,15,55,48933,534,996,17,50,1,1,39,2,2,1,10,0,31,2,0,0,0
99,61241,671,596,27,66,49722,666,824,20,72,1,1,31,3,1,1,9,0,20,1,0,1,3
100,50853,619,842,21,70,57707,618,510,16,66,0,1,18,1,0,1,3,0,28,3,1,1,8
101,47024,536,349,15,37,38093,443,691,11,38,1,0,24,3,1,1,9,0,15,0,0,1,3
102,67511,818,1270,75,121,76638,792,809,80,132,0,0,28,1,1,2,5,1,44,4,1,0,8
103,57009,613,990,23,62,60587,676,722,19,65,0,1,26,0,0,2,5,0,36,4,1,0,5
104,21601,319,490,3,22,34611,409,60,5,23,0,0,3,0,0,1,0,0,25,2,0,0,3
105,43519,591,985,19,44,56352,613,427,21,53,0,0,16,1,0,1,1,1,33,3,1,1,8
106,50961,584,958,21,50,57898,574,751,15,70,0,0,26,0,0,1,3,1,34,3,1,1,10
107,39077,450,814,26,57,52025,549,349,27,61,0,0,15,0,0,1,1,0,34,2,1,1,7
108,60142,581,489,18,53,43896,447,1077,15,49,1,1,44,4,2,1,9,0,20,0,0,1,1
109,66855,636,810,27,59,57156,615,1273,18,63,1,1,44,3,2,1,9,0,29,1,0,0,3
110,23598,247,469,3,16,39430,384,160,4,27,0,0,11,0,0,1,0,0,32,1,0,0,5
111,86748,768,1515,24,85,82216,786,2155,18,77,1,2,55,4,2,0,10,1,45,2,2,2,8
112,58222,669,1091,16,67,66544,605,704,20,55,0,1,23,1,0,1,1,1,37,4,3,0,11
113,72871,603,1363,24,70,69818,647,1581,27,60,1,1,53,3,1,1,8,1,40,2,0,1,6
114,68773,597,1853,24,56,76572,581,1630,16,50,0,0,45,1,0,0,2,2,57,3,2,0,10
115,25176,304,559,5,21,34378,352,146,5,31,0,0,8,0,0,0,0,0,27,1,0,1,3
116,57767,651,352,31,61,46855,644,804,22,66,1,1,27,2,1,2,9,0,14,2,0,0,2
117,75406,857,754,22,88,69714,841,971,39,96,1,1,31,2,2,1,8,2,22,4,3,1,9
118,31382,396,495,11,51,40677,476,217,11,37,0,0,9,1,0,0,1,0,19,1,0,2,4
119,32452,446,537,10,33,40298,474,216,11,39,0,0,9,1,0,0,0,0,21,1,0,1,4
120,62061,654,528,19,44,51773,632,1184,6,53,1,1,41,4,1,1,9,0,21,0,0,1,5
121,69522,807,710,44,101,65109,809,820,40,87,1,2,30,1,1,1,9,0,26,3,0,1,6
122,80427,953,1523,48,128,86791,1004,1125,55,122,0,1,34,1,3,1,10,2,45,4,2,1,9
123,73333,945,1405,48,91,75464,933,820,44,108,1,1,22,3,2,1,10,2,42,3,1,1,6
124,57066,606,316,14,46,40017,512,994,11,48,1,1,37,3,1,1,9,0,13,0,0,1,2
125,42161,537,536,13,53,44478,450,306,17,41,0,0,17,1,0,1,5,1,30,2,0,1,2
126,50981,482,363,26,54,38853,471,805,21,41,1,1,31,2,1,1,9,0,14,1,0,1,2
127,72211,716,1043,31,72,64353,726,1430,22,87,1,1,44,4,3,1,11,1,29,1,0,1,4
128,36530,333,716,9,39,44493,422,427,9,45,0,0,22,0,0,0,0,0,31,3,0,0,5
129,49767,493,917,40,78,60171,576,805,35,84,0,0,28,1,0,1,1,1,36,3,1,0,8
130,40548,381,1001,7,33,57512,402,731,6,40,0,0,30,0,0,0,1,1,43,3,2,1,10
131,38068,354,908,10,45,51672,479,406,12,35,0,0,18,0,0,0,2,0,38,3,1,2,8
132,52542,443,381,7,56,44089,519,915,11,44,1,1,37,4,1,2,8,0,15,0,0,0,4
133,75928,727,1135,33,90,77015,816,1818,33,69,0,1,52,4,2,0,8,1,34,2,1,0,8
134,75166,632,1977,13,64,82327,637,1747,6,69,0,1,51,4,1,1,6,1,61,1,1,0,9
135,55242,746,897,31,109,66029,727,503,46,87,0,0,16,1,0,1,3,1,30,4,1,0,9
136,58081,610,788,37,76,64526,688,899,33,102,0,0,30,3,0,2,3,1,29,2,1,0,7
137,49430,492,357,14,59,36515,478,695,17,48,1,0,31,4,0,1,6,0,14,0,0,1,0
138,64236,646,971,19,85,65159,681,900,24,69,0,1,30,4,0,2,4,0,33,2,3,0,10
139,55661,472,392,20,58,42499,519,731,12,60,1,1,35,3,1,2,9,0,19,0,0,0,2
140,46645,575,1354,9,58,54334,503,511,18,46,0,0,17,1,0,1,3,1,43,3,1,1,7
141,72597,701,1435,13,58,65400,559,1591,13,53,1,0,50,3,2,1,11,1,41,1,0,0,1
142,47868,596,798,17,59,60187,644,362,21,61,0,0,16,0,0,0,5,1,30,4,1,2,10
143,52774,501,540,20,74,46835,547,649,15,53,1,1,25,2,2,2,10,0,22,1,0,0,3
144,50080,507,96,22,61,36330,536,558,13,51,1,1,28,2,2,0,10,0,5,1,0,2,3
145,46196,421,947,10,37,47154,439,716,13,44,0,0,29,0,0,1,3,0,32,3,0,1,5
146,49574,519,1307,15,49,61945,509,748,12,59,0,0,26,1,0,1,2,1,45,3,3,0,11
147,62229,529,1531,20,71,67235,606,1326,24,58,0,0,41,1,1,0,6,1,47,3,1,2,7
148,48335,473,516,15,52,45557,535,546,10,54,1,1,24,1,2,1,10,0,25,2,0,0,2
149,82611,734,1499,51,109,80979,839,1196,35,108,1,2,37,5,7,2,11,2,45,1,1,0,6
150,47875,436,465,11,48,39799,451,673,13,56,1,0,29,1,0,2,4,0,24,2,0,0,1
151,94345,1016,1550,54,117,92865,799,2372,41,124,1,0,58,4,2,1,9,4,42,3,2,0,6
152,47878,458,337,13,50,38182,422,585,11,37,1,0,32,2,2,2,7,0,21,0,0,0,0
153,52256,592,1051,14,50,58847,614,677,13,66,0,0,23,0,0,1,5,1,38,3,1,0,8
154,60666,642,1116,27,69,66888,771,701,28,61,0,1,24,2,1,1,5,0,38,2,1,1,10
155,50439,531,338,22,39,35650,497,734,13,45,1,1,32,3,1,2,7,0,15,0,0,0,0
156,49138,594,856,16,59,59233,618,663,20,65,0,0,21,1,0,0,2,1,35,3,2,2,9
157,68406,714,779,51,113,56480,673,1135,37,97,1,1,38,4,1,1,8,0,24,1,0,0,2
158,27752,421,456,12,43,42087,459,111,17,35,0,0,7,0,0,0,0,0,29,2,1,2,7
159,62303,676,573,29,73,50027,655,664,27,84,1,2,26,1,1,2,8,0,19,3,0,0,0
160,63005,713,1053,47,88,64911,729,890,36,74,0,1,27,2,0,1,4,0,32,2,1,0,8
161,44478,432,465,10,38,38463,333,728,9,35,1,0,31,2,0,0,2,0,19,1,0,1,4
162,44394,408,248,5,26,34344,393,700,2,24,1,0,36,3,1,1,7,0,17,0,0,1,2
163,63113,684,971,26,38,58231,629,919,20,71,1,1,35,0,1,0,8,0,31,4,2,2,9
164,57158,589,379,13,59,49589,640,941,20,57,1,1,30,3,2,0,9,0,17,1,1,1,5
165,56730,528,1397,7,53,67922,516,1045,11,50,0,0,35,2,0,0,1,2,50,2,3,1,11
166,50352,415,629,10,34,41293,353,1077,6,37,1,0,45,2,0,1,7,0,27,1,0,1,1
167,47412,652,834,14,68,59045,656,464,22,65,0,0,17,3,0,0,6,1,31,0,1,2,10
168,52828,700,1067,22,54,59497,602,518,23,76,0,1,15,0,0,1,3,0,36,4,2,1,10
169,88867,781,1542,18,53,77269,673,1627,21,93,1,2,46,2,4,0,11,1,44,4,2,0,6
170,73583,558,1030,32,45,59973,589,1667,18,79,1,1,55,3,3,2,11,0,32,2,0,0,5
171,56741,650,596,46,61,55992,764,816,27,109,1,0,23,2,1,1,6,0,19,2,0,1,5
172,57012,531,481,15,40,45572,576,929,6,45,1,1,39,2,2,2,8,0,18,0,0,0,3
173,50706,633,518,27,61,60136,724,589,25,69,0,1,19,1,0,0,1,1,25,3,1,2,9
174,82484,776,1971,36,61,82139,814,1675,21,87,0,1,43,2,0,1,7,1,56,3,3,0,10
175,78843,714,1200,23,97,73550,733,1484,33,67,1,2,45,4,2,2,11,1,39,1,0,0,4
176,62544,590,1173,15,81,71036,636,1153,35,58,0,0,38,0,0,1,3,1,44,4,3,1,11
177,59011,592,370,17,80,47507,618,880,27,50,1,2,32,2,3,0,11,0,15,2,0,0,2
178,47156,488,196,17,53,34035,523,659,14,42,1,0,25,3,1,2,7,0,9,0,0,0,0
179,67847,539,1104,14,76,69413,596,1282,30,40,1,1,46,4,2,1,10,1,45,1,0,1,5
180,75646,965,1115,49,92,79048,833,720,40,103,0,1,19,4,0,2,5,2,36,3,2,0,6
181,40144,419,48,14,49,24999,407,510,12,31,1,0,23,1,2,1,10,0,3,0,0,0,0
182,52367,634,880,35,59,58247,627,702,29,84,0,0,26,3,0,1,3,1,34,1,1,0,7
183,35071,394,84,12,25,23082,310,524,7,34,1,0,27,1,0,0,2,0,4,1,0,0,0
184,51708,575,251,19,54,37413,535,387,14,41,1,1,22,2,2,2,10,0,13,1,0,0,1
185,35365,527,325,11,45,41427,569,220,11,46,0,0,10,0,0,2,1,0,14,3,0,0,5
186,56157,646,915,19,57,63975,666,703,23,65,0,0,26,2,0,1,5,2,39,2,2,0,9
187,58649,649,343,18,57,41271,549,866,11,50,1,1,35,3,2,1,10,0,13,0,0,0,0
188,46280,480,268,14,42,35812,407,670,12,43,1,0,31,2,0,1,5,0,15,1,0,1,2
189,43667,517,240,21,46,37684,495,482,17,46,1,0,22,2,1,2,7,0,12,0,0,0,2
190,67679,878,997,32,71,72068,754,1089,26,75,0,0,30,1,0,1,4,2,35,4,2,0,10
191,78046,915,1504,60,120,86996,875,1557,65,138,0,0,39,3,1,1,6,3,45,3,2,1,11
192,51901,624,935,37,82,60546,688,495,41,75,0,0,20,2,0,2,3,1,34,2,2,0,9
193,43149,519,911,26,60,59292,628,389,29,64,0,0,14,1,0,1,2,1,32,3,1,1,9
194,54750,601,608,21,68,54589,698,639,23,68,0,1,26,1,1,1,9,0,26,2,1,1,6
195,38547,496,535,12,55,45895,477,312,16,42,0,0,15,1,0,0,3,1,25,1,0,1,4
196,45976,545,867,23,61,58310,511,415,22,62,0,0,17,1,0,1,3,1,34,2,0,1,7
197,56901,710,1036,25,64,63887,638,604,24,80,0,1,24,1,0,0,2,0,42,4,2,2,9
198,54948,589,1006,30,48,62226,543,699,17,62,0,0,27,3,0,0,5,1,30,1,1,0,6
199,46111,646,467,19,50,49020,648,397,16,56,0,0,15,1,0,1,3,1,18,2,0,1,4
200,68281,760,665,41,78,57652,724,987,25,80,1,1,33,4,2,2,9,0,22,1,0,0,3
201,49403,583,805,23,72,59481,666,441,19,63,0,0,19,1,0,2,3,1,35,3,2,0,10
202,58831,672,1151,18,62,69910,747,925,21,64,0,0,32,2,1,1,7,2,34,3,1,1,9
203,38787,412,68,8,27,20868,283,385,3,25,1,0,20,0,1,1,9,0,3,1,0,0,0
204,66710,784,650,47,88,70803,866,872,25,96,0,1,27,4,0,2,5,0,21,1,1,0,10
205,60114,653,495,17,65,48066,607,1016,25,44,1,1,34,1,1,2,9,0,19,2,0,0,3
206,48050,559,391,17,42,41166,531,504,12,41,1,1,23,1,0,1,4,0,17,2,0,0,1
207,68180,574,1058,33,93,62075,616,1251,25,70,1,1,48,4,3,2,7,1,33,0,0,0,3
208,40137,478,649,14,52,48598,505,474,19,49,0,0,19,0,0,0,0,0,32,3,0,2,4
209,35923,382,201,9,44,27262,355,473,10,31,1,0,26,0,0,1,2,0,12,1,0,0,0
210,54742,588,394,18,64,46492,496,777,14,51,1,1,27,1,1,2,9,0,18,1,1,0,6
211,80053,787,1524,23,87,79309,837,1600,29,81,1,1,49,3,4,1,11,2,46,3,0,0,8
212,41957,502,241,20,54,35573,512,484,8,57,1,0,20,1,0,2,4,0,9,0,0,0,3
213,36852,437,728,20,44,50092,517,224,12,58,0,0,13,1,0,1,2,1,31,2,1,1,8
214,42562,464,814,16,50,56820,452,497,13,52,0,0,22,0,0,0,2,0,37,3,2,2,9
215,55863,519,209,13,39,38523,480,983,8,50,1,1,37,2,1,0,9,0,12,0,0,2,3
216,63807,659,666,34,69,53854,618,762,23,75,1,2,33,1,1,1,9,0,27,3,0,1,4
217,52653,638,755,13,68,62737,692,663,30,71,0,0,20,2,0,1,2,2,28,2,0,1,6
218,32529,501,430,14,32,40357,475,193,13,37,0,0,8,0,0,0,1,0,25,2,0,2,4
219,38365,531,528,21,47,48131,562,304,22,51,0,0,14,1,0,1,0,0,28,2,0,1,6
220,62183,687,1081,24,72,65767,606,1211,24,66,0,1,35,1,0,0,3,1,41,2,4,2,11
221,37639,469,418,22,44,44791,488,251,12,44,0,0,14,2,0,0,2,0,21,1,1,2,7
222,61799,685,525,23,63,50473,669,928,16,62,1,1,32,4,3,1,11,0,19,0,0,1,2
223,76585,703,941,43,86,60917,771,1265,28,73,1,2,47,5,3,2,11,0,27,0,0,0,2
224,44464,495,1116,10,37,57252,570,474,12,59,0,0,18,1,0,0,2,1,36,2,2,1,9
225,33960,474,676,14,36,49843,528,233,10,49,0,0,11,0,0,0,1,1,28,3,0,2,6
226,48524,571,1064,22,55,60178,544,473,16,65,0,0,19,0,0,1,2,1,41,4,2,1,10
227,66992,701,877,40,96,64854,858,1178,29,93,0,1,35,3,1,1,6,0,25,2,1,0,6
228,57933,741,903,30,71,64100,790,645,30,84,0,0,20,1,0,2,4,1,29,3,1,0,8
229,63231,644,709,40,53,56377,697,990,20,94,1,2,37,1,1,2,7,0,23,3,0,0,5
230,58751,506,494,11,56,39171,498,1071,15,41,1,1,48,2,2,1,9,0,19,0,0,1,0
231,47867,557,1185,14,51,55382,510,766,12,46,0,0,28,1,0,0,2,0,41,2,1,2,7
232,43417,568,490,17,45,56918,679,399,16,61,0,0,14,1,0,0,0,1,22,2,2,1,10
233,47019,578,409,30,53,46439,591,608,23,62,1,0,22,1,1,1,7,0,17,2,0,1,4
234,76226,918,620,27,78,63791,848,1197,24,85,1,2,34,3,4,1,11,0,18,2,0,1,2
235,73060,944,1316,44,90,83760,913,714,38,92,0,0,22,2,0,0,4,2,46,3,2,2,9
236,51133,561,1003,21,55,59422,671,656,17,74,0,0,21,2,0,0,4,1,32,2,1,2,9
237,51789,598,357,23,52,42882,584,689,19,62,1,0,28,3,2,2,9,1,14,0,0,0,2
238,67432,847,1059,30,95,70731,908,871,37,84,0,1,25,2,0,2,6,0,33,3,1,0,9
239,27513,407,481,19,39,42818,510,119,15,40,0,0,5,0,0,0,0,0,24,2,2,1,9
240,63360,670,426,28,78,50193,649,973,23,69,1,1,36,3,2,1,10,0,19,0,0,0,1
241,23503,308,82,5,15,17034,210,138,0,17,1,0,10,0,0,1,1,0,6,0,0,0,0
242,59032,606,606,20,53,52266,601,728,12,70,1,1,31,3,3,2,10,0,21,1,1,0,5
243,51081,607,237,20,48,42285,633,626,14,53,1,1,23,2,2,2,9,0,10,1,0,0,3
244,31234,454,676,10,54,42250,461,255,14,38,0,0,9,0,0,0,0,0,27,1,0,2,3
245,79294,907,1390,17,77,82612,865,1562,18,80,0,1,43,3,2,1,7,2,41,2,3,1,9
246,24772,354,368,3,24,33354,377,38,9,28,0,0,4,0,0,0,1,0,18,2,0,1,3
247,86874,924,1575,29,98,89760,857,1633,47,69,1,2,46,2,0,0,5,1,45,4,3,0,9
248,53418,593,417,19,59,48411,643,616,14,63,1,1,25,2,1,2,5,0,16,1,1,0,5
249,40464,431,834,19,54,53249,556,444,26,63,0,0,17,0,0,1,2,0,35,2,0,0,5
250,46327,549,696,19,69,58462,693,498,30,59,0,0,19,2,0,2,3,1,29,2,1,0,6
251,63423,832,902,36,71,68658,877,756,34,106,0,1,22,1,0,0,4,0,28,4,2,2,10
252,56544,686,384,16,61,50159,620,529,19,61,1,1,22,2,1,1,7,0,19,1,0,1,5
253,53625,736,634,27,64,62648,787,657,20,77,0,0,19,2,0,2,1,0,24,3,1,0,9
254,68555,860,1050,39,89,74970,778,959,42,123,0,0,26,0,0,1,3,1,30,5,2,1,10
255,60463,515,762,20,84,50999,546,1015,25,59,1,1,34,1,2,1,8,0,28,2,0,0,3
256,50266,638,744,17,64,58475,643,654,17,56,0,0,23,1,0,1,4,1,25,3,2,1,10
257,42776,582,237,18,49,35568,531,293,13,48,1,0,16,2,0,2,6,0,10,1,0,0,2
258,53915,716,977,25,51,60833,630,655,19,83,0,0,26,0,0,0,2,0,41,4,3,2,10
259,63618,651,610,30,59,51540,655,1013,20,67,1,1,38,3,1,1,9,0,22,1,0,0,1
260,35261,471,632,14,48,42288,540,304,16,47,0,0,14,0,0,1,1,0,24,3,0,0,3
261,60713,666,1774,16,74,72769,671,1016,32,71,0,0,31,0,0,1,5,1,56,4,2,1,11
262,74654,776,1546,24,80,81807,852,1318,31,98,0,0,35,1,4,0,8,2,48,4,2,0,8
263,73669,840,899,42,113,67932,801,1202,38,113,1,1,34,2,0,2,6,1,26,3,0,0,5
264,40336,469,170,25,46,33168,466,358,16,57,1,0,22,2,0,1,4,0,10,0,0,1,2
265,50101,581,1133,28,59,62671,648,696,23,85,0,0,24,0,0,0,2,1,42,4,1,1,8
266,60076,786,1105,24,87,69435,775,701,37,80,0,0,22,0,0,1,3,2,36,4,2,1,10
267,54309,598,317,16,51,42609,570,845,15,45,1,1,30,2,2,0,9,0,14,2,0,1,3
268,55439,605,710,21,61,51882,617,930,24,60,1,0,35,1,1,2,6,0,26,2,0,0,3
